feature_id,geometry_type,coordinates,geometry_format
way/4078548,LineString,"[[30.4141326, 59.9470649], [30.4141913, 59.9470603], [30.4142618, 59.9470547], [30.4143445, 59.9470481], [30.4145466, 59.9470296], [30.4153723, 59.946954], [30.4155246, 59.9469401], [30.415583, 59.9469347], [30.4168698, 59.9468175], [30.4172468, 59.9467825], [30.4174587, 59.9467631], [30.418165, 59.9466984], [30.4188039, 59.9466399], [30.4203135, 59.9465018], [30.4204914, 59.9464855], [30.4206763, 59.9464686], [30.4208036, 59.9464581]]","LINESTRING(59.9470649 30.4141326,59.9470603 30.4141913,59.9470547 30.4142618,59.9470481 30.4143445,59.9470296 30.4145466,59.946954 30.4153723,59.9469401 30.4155246,59.9469347 30.415583,59.9468175 30.4168698,59.9467825 30.4172468,59.9467631 30.4174587,59.9466984 30.418165,59.9466399 30.4188039,59.9465018 30.4203135,59.9464855 30.4204914,59.9464686 30.4206763,59.9464581 30.4208036)"
way/4414959,LineString,"[[30.4193716, 59.7310274], [30.4190097, 59.7311472], [30.4173149, 59.7317082], [30.4170594, 59.7317928], [30.416569, 59.7319551], [30.4150892, 59.7324449]]","LINESTRING(59.7310274 30.4193716,59.7311472 30.4190097,59.7317082 30.4173149,59.7317928 30.4170594,59.7319551 30.416569,59.7324449 30.4150892)"
way/4414960,LineString,"[[30.4196152, 59.728299], [30.4198857, 59.7282018], [30.4201782, 59.7280928], [30.421086, 59.7277575], [30.4216001, 59.7275871], [30.4218654, 59.7275031]]","LINESTRING(59.728299 30.4196152,59.7282018 30.4198857,59.7280928 30.4201782,59.7277575 30.421086,59.7275871 30.4216001,59.7275031 30.4218654)"
way/4414988,LineString,"[[30.4085217, 59.7136071], [30.4086916, 59.7135535]]",
way/4454283,LineString,"[[30.2917975, 60.0154757], [30.2932215, 60.0152835], [30.2935485, 60.0152379]]","LINESTRING(60.0154757 30.2917975,60.0152835 30.2932215,60.0152379 30.2935485)"
way/4454334,LineString,"[[30.440688, 59.9837573], [30.4405997, 59.9835771], [30.4405355, 59.9834459], [30.4402654, 59.9829315], [30.4401344, 59.9827026], [30.4400999, 59.9826128], [30.4400886, 59.9825394], [30.4400834, 59.9824918]]","LINESTRING(59.9837573 30.440688,59.9835771 30.4405997,59.9834459 30.4405355,59.9829315 30.4402654,59.9827026 30.4401344,59.9826128 30.4400999,59.9825394 30.4400886,59.9824918 30.4400834)"
way/4454357,LineString,"[[30.2516886, 59.9107452], [30.2516903, 59.9103157], [30.2516893, 59.9095622], [30.2516851, 59.9092607], [30.2516814, 59.909174]]","LINESTRING(59.9107452 30.2516886,59.9103157 30.2516903,59.9095622 30.2516893,59.9092607 30.2516851,59.909174 30.2516814)"
way/4454376,LineString,"[[30.3043248, 59.9479161], [30.3046177, 59.9480882], [30.3047732, 59.9481784], [30.3049004, 59.9482773]]","LINESTRING(59.9479161 30.3043248,59.9480882 30.3046177,59.9481784 30.3047732,59.9482773 30.3049004)"
way/4454381,LineString,"[[30.2629262, 59.9094874], [30.2632919, 59.9094867], [30.2638999, 59.9094726]]","LINESTRING(59.9094874 30.2629262,59.9094867 30.2632919,59.9094726 30.2638999)"
way/4454388,LineString,"[[30.1303894, 60.0576922], [30.1303367, 60.0576674], [30.13025, 60.0576395], [30.13013, 60.0576094], [30.1294666, 60.0575403]]","LINESTRING(60.0576922 30.1303894,60.0576674 30.1303367,60.0576395 30.13025,60.0576094 30.13013,60.0575403 30.1294666)"
way/4454389,LineString,"[[29.998413, 60.0390935], [29.9963397, 60.039005], [29.9948194, 60.0389388], [29.9933908, 60.0388903], [29.9917859, 60.0388683], [29.9916691, 60.0388683], [29.9903374, 60.0388683], [29.988729, 60.0388568], [29.9874589, 60.0388823], [29.9861561, 60.0389162], [29.9840072, 60.0390158], [29.9823735, 60.0390647], [29.9807142, 60.0390826]]","LINESTRING(60.0390935 29.998413,60.039005 29.9963397,60.0389388 29.9948194,60.0388903 29.9933908,60.0388683 29.9917859,60.0388683 29.9916691,60.0388683 29.9903374,60.0388568 29.988729,60.0388823 29.9874589,60.0389162 29.9861561,60.0390158 29.9840072,60.0390647 29.9823735,60.0390826 29.9807142)"
way/4454390,LineString,"[[30.2400871, 59.9266304], [30.2401576, 59.9265709]]",
way/4454408,LineString,"[[30.467552, 60.0152115], [30.4672071, 60.0154758], [30.4670191, 60.01558], [30.4665484, 60.0158302], [30.4662211, 60.0160511], [30.4660122, 60.0162487], [30.4651717, 60.017411], [30.4646185, 60.0181938], [30.4642401, 60.0187497], [30.4639027, 60.0192314], [30.46377, 60.019468], [30.463726, 60.0196771], [30.4637378, 60.0198954], [30.4638326, 60.0201506], [30.4638338, 60.020159], [30.4638582, 60.0203337]]","LINESTRING(60.0152115 30.467552,60.0154758 30.4672071,60.01558 30.4670191,60.0158302 30.4665484,60.0160511 30.4662211,60.0162487 30.4660122,60.017411 30.4651717,60.0181938 30.4646185,60.0187497 30.4642401,60.0192314 30.4639027,60.019468 30.46377,60.0196771 30.463726,60.0198954 30.4637378,60.0201506 30.4638326,60.020159 30.4638338,60.0203337 30.4638582)"
way/4454419,LineString,"[[30.2408284, 59.9089061], [30.2409491, 59.909016], [30.2410007, 59.9090684], [30.2410624, 59.9091081], [30.2411342, 59.9091343], [30.2412046, 59.9091525], [30.2412824, 59.9091703]]","LINESTRING(59.9089061 30.2408284,59.909016 30.2409491,59.9090684 30.2410007,59.9091081 30.2410624,59.9091343 30.2411342,59.9091525 30.2412046,59.9091703 30.2412824)"
way/4454438,LineString,"[[30.4054788, 59.9278037], [30.4048105, 59.9278067], [30.4042295, 59.9278122], [30.4038329, 59.9278065], [30.4035683, 59.9277784]]","LINESTRING(59.9278037 30.4054788,59.9278067 30.4048105,59.9278122 30.4042295,59.9278065 30.4038329,59.9277784 30.4035683)"
way/4454465,LineString,"[[30.3464773, 59.9593104], [30.3464015, 59.9593345], [30.3463338, 59.9593624], [30.3461654, 59.9594614], [30.3456104, 59.9598218], [30.3455177, 59.9598851], [30.3454771, 59.9599274]]","LINESTRING(59.9593104 30.3464773,59.9593345 30.3464015,59.9593624 30.3463338,59.9594614 30.3461654,59.9598218 30.3456104,59.9598851 30.3455177,59.9599274 30.3454771)"
way/4454470,LineString,"[[29.6270209, 60.2094126], [29.6261952, 60.2098672], [29.6254401, 60.2106261], [29.6253405, 60.2115989], [29.6252029, 60.2118362], [29.62421, 60.2124411], [29.6236928, 60.2128606]]","LINESTRING(60.2094126 29.6270209,60.2098672 29.6261952,60.2106261 29.6254401,60.2115989 29.6253405,60.2118362 29.6252029,60.2124411 29.62421,60.2128606 29.6236928)"
way/4454494,LineString,"[[30.2170017, 59.9051071], [30.2167801, 59.9051193], [30.2165866, 59.9051706]]","LINESTRING(59.9051071 30.2170017,59.9051193 30.2167801,59.9051706 30.2165866)"
way/4454526,LineString,"[[30.3288369, 59.9406813], [30.3288469, 59.9407086], [30.3288839, 59.9408072], [30.3289699, 59.9410203], [30.3291211, 59.9413947]]","LINESTRING(59.9406813 30.3288369,59.9407086 30.3288469,59.9408072 30.3288839,59.9410203 30.3289699,59.9413947 30.3291211)"
way/4454554,LineString,"[[30.4676341, 59.861761], [30.4680341, 59.8621847], [30.4682067, 59.8623633], [30.4685472, 59.8627164], [30.469114, 59.8633058], [30.4694804, 59.8636716], [30.4695223, 59.8637145], [30.4696805, 59.8638646], [30.4699816, 59.8641478], [30.4703474, 59.8644967], [30.4704619, 59.8645946]]","LINESTRING(59.861761 30.4676341,59.8621847 30.4680341,59.8623633 30.4682067,59.8627164 30.4685472,59.8633058 30.469114,59.8636716 30.4694804,59.8637145 30.4695223,59.8638646 30.4696805,59.8641478 30.4699816,59.8644967 30.4703474,59.8645946 30.4704619)"
way/4454579,LineString,"[[30.3897174, 59.9741135], [30.3895178, 59.974146], [30.3880126, 59.9743845], [30.3878702, 59.9744061], [30.3861366, 59.9746855], [30.3845902, 59.9749425], [30.3840435, 59.9750334], [30.3840029, 59.9750397], [30.383903, 59.9750527], [30.383809, 59.9750551], [30.3837295, 59.9750474]]","LINESTRING(59.9741135 30.3897174,59.974146 30.3895178,59.9743845 30.3880126,59.9744061 30.3878702,59.9746855 30.3861366,59.9749425 30.3845902,59.9750334 30.3840435,59.9750397 30.3840029,59.9750527 30.383903,59.9750551 30.383809,59.9750474 30.3837295)"
way/4454608,LineString,"[[30.4005101, 60.0536854], [30.3987298, 60.0544796], [30.3979383, 60.0548284], [30.3976479, 60.0550095], [30.3974104, 60.0551796], [30.397235, 60.0553527], [30.397083, 60.055522], [30.3969451, 60.0557489], [30.3968959, 60.0558503], [30.3967761, 60.056164], [30.3965582, 60.0567404], [30.3963847, 60.0570527], [30.39619, 60.0572879], [30.3959857, 60.0574969], [30.3957662, 60.0576775], [30.3954787, 60.0578884]]","LINESTRING(60.0536854 30.4005101,60.0544796 30.3987298,60.0548284 30.3979383,60.0550095 30.3976479,60.0551796 30.3974104,60.0553527 30.397235,60.055522 30.397083,60.0557489 30.3969451,60.0558503 30.3968959,60.056164 30.3967761,60.0567404 30.3965582,60.0570527 30.3963847,60.0572879 30.39619,60.0574969 30.3959857,60.0576775 30.3957662,60.0578884 30.3954787)"
way/4454628,LineString,"[[30.3635138, 59.8531233], [30.3637732, 59.8528838], [30.3638775, 59.8528036], [30.3640746, 59.8526766]]","LINESTRING(59.8531233 30.3635138,59.8528838 30.3637732,59.8528036 30.3638775,59.8526766 30.3640746)"
way/4454660,LineString,"[[30.4362179, 59.9741121], [30.4363306, 59.9740226], [30.4364179, 59.9739418], [30.436533, 59.9738053], [30.4366176, 59.9736816], [30.4366619, 59.9735925], [30.4367099, 59.973487]]","LINESTRING(59.9741121 30.4362179,59.9740226 30.4363306,59.9739418 30.4364179,59.9738053 30.436533,59.9736816 30.4366176,59.9735925 30.4366619,59.973487 30.4367099)"
way/4454679,LineString,"[[30.328152, 59.8789914], [30.3281591, 59.8789205], [30.3281884, 59.8780933], [30.3281895, 59.8780633], [30.3282061, 59.8778399], [30.3282125, 59.8777539], [30.328218, 59.8776761], [30.3282263, 59.8773876], [30.3282327, 59.8772904], [30.3282362, 59.8772378], [30.3283017, 59.8762556], [30.3283035, 59.8762279], [30.3283055, 59.8761972], [30.3283303, 59.8761038]]","LINESTRING(59.8789914 30.328152,59.8789205 30.3281591,59.8780933 30.3281884,59.8780633 30.3281895,59.8778399 30.3282061,59.8777539 30.3282125,59.8776761 30.328218,59.8773876 30.3282263,59.8772904 30.3282327,59.8772378 30.3282362,59.8762556 30.3283017,59.8762279 30.3283035,59.8761972 30.3283055,59.8761038 30.3283303)"
way/4454689,LineString,"[[29.8692483, 59.8779532], [29.8698244, 59.8782091], [29.870117, 59.8783389], [29.8701623, 59.878359], [29.871213, 59.8788234], [29.8725459, 59.8794055], [29.8736005, 59.8798606], [29.8741228, 59.8800776], [29.8746477, 59.8802907], [29.8810752, 59.8828747], [29.8848074, 59.8843814], [29.8852864, 59.8846265], [29.8854063, 59.8846867], [29.8854916, 59.8847291]]","LINESTRING(59.8779532 29.8692483,59.8782091 29.8698244,59.8783389 29.870117,59.878359 29.8701623,59.8788234 29.871213,59.8794055 29.8725459,59.8798606 29.8736005,59.8800776 29.8741228,59.8802907 29.8746477,59.8828747 29.8810752,59.8843814 29.8848074,59.8846265 29.8852864,59.8846867 29.8854063,59.8847291 29.8854916)"
way/4454692,LineString,"[[30.4228463, 59.9706775], [30.4225979, 59.9705618], [30.4225462, 59.9705373], [30.4223859, 59.9704624]]","LINESTRING(59.9706775 30.4228463,59.9705618 30.4225979,59.9705373 30.4225462,59.9704624 30.4223859)"
way/4454694,LineString,"[[30.4252398, 60.0400045], [30.4245895, 60.0401677]]",
way/4454742,LineString,"[[30.3450771, 59.9382396], [30.3450767, 59.9382512], [30.345073, 59.9383524], [30.3450722, 59.9384869], [30.3450711, 59.938672], [30.3450705, 59.9387657], [30.34507, 59.938859], [30.3450748, 59.9389346], [30.3450892, 59.9391616], [30.3450991, 59.9393177], [30.3451326, 59.9397978], [30.3451416, 59.9399268], [30.3451504, 59.9400544], [30.3451694, 59.9403265], [30.345174, 59.9403919], [30.3451838, 59.9405324], [30.345187, 59.9405782], [30.3451903, 59.9406262], [30.3452127, 59.9409248], [30.3452158, 59.9410031], [30.3452343, 59.9412835], [30.3452462, 59.9415009], [30.345302, 59.9421969], [30.3453029, 59.9422161], [30.3453241, 59.9425563], [30.3453255, 59.9425788], [30.3453339, 59.9427124]]","LINESTRING(59.9382396 30.3450771,59.9382512 30.3450767,59.9383524 30.345073,59.9384869 30.3450722,59.938672 30.3450711,59.9387657 30.3450705,59.938859 30.34507,59.9389346 30.3450748,59.9391616 30.3450892,59.9393177 30.3450991,59.9397978 30.3451326,59.9399268 30.3451416,59.9400544 30.3451504,59.9403265 30.3451694,59.9403919 30.345174,59.9405324 30.3451838,59.9405782 30.345187,59.9406262 30.3451903,59.9409248 30.3452127,59.9410031 30.3452158,59.9412835 30.3452343,59.9415009 30.3452462,59.9421969 30.345302,59.9422161 30.3453029,59.9425563 30.3453241,59.9425788 30.3453255,59.9427124 30.3453339)"
way/4454755,LineString,"[[30.2978568, 60.0684904], [30.2982317, 60.0685233], [30.2989277, 60.0685814], [30.3011123, 60.0687792], [30.3023798, 60.0688943], [30.30281, 60.0689333], [30.3056993, 60.0692033], [30.3060591, 60.0692629], [30.3063517, 60.0693371], [30.306749, 60.069478], [30.3070599, 60.0696024], [30.3072855, 60.0697221], [30.3074156, 60.0698046]]","LINESTRING(60.0684904 30.2978568,60.0685233 30.2982317,60.0685814 30.2989277,60.0687792 30.3011123,60.0688943 30.3023798,60.0689333 30.30281,60.0692033 30.3056993,60.0692629 30.3060591,60.0693371 30.3063517,60.069478 30.306749,60.0696024 30.3070599,60.0697221 30.3072855,60.0698046 30.3074156)"
way/4454784,LineString,"[[30.4320183, 60.0170093], [30.432123, 60.0169412], [30.4321944, 60.0169142], [30.4322864, 60.0169045], [30.4326788, 60.0169153], [30.4327479, 60.0169333], [30.4328102, 60.0169608], [30.4328996, 60.0170352]]","LINESTRING(60.0170093 30.4320183,60.0169412 30.432123,60.0169142 30.4321944,60.0169045 30.4322864,60.0169153 30.4326788,60.0169333 30.4327479,60.0169608 30.4328102,60.0170352 30.4328996)"
way/4454822,LineString,"[[30.317451, 59.9266226], [30.3174312, 59.9266518], [30.3173962, 59.9267035]]","LINESTRING(59.9266226 30.317451,59.9266518 30.3174312,59.9267035 30.3173962)"
way/4454951,LineString,"[[30.3855437, 59.9266955], [30.3853922, 59.926589], [30.3849658, 59.9262912], [30.3848126, 59.9261842], [30.3843408, 59.9258525], [30.3840886, 59.9256756], [30.3839331, 59.9255666], [30.3832698, 59.9251007], [30.3831307, 59.9250057]]","LINESTRING(59.9266955 30.3855437,59.926589 30.3853922,59.9262912 30.3849658,59.9261842 30.3848126,59.9258525 30.3843408,59.9256756 30.3840886,59.9255666 30.3839331,59.9251007 30.3832698,59.9250057 30.3831307)"
way/4454992,LineString,"[[30.4184361, 60.0334927], [30.4190793, 60.0336755], [30.4192696, 60.0337366]]","LINESTRING(60.0334927 30.4184361,60.0336755 30.4190793,60.0337366 30.4192696)"
way/4455057,LineString,"[[30.4268868, 59.9856603], [30.4265958, 59.9856092], [30.4264177, 59.9855539], [30.4263187, 59.9855213], [30.4262287, 59.9854666], [30.4258559, 59.9851086]]","LINESTRING(59.9856603 30.4268868,59.9856092 30.4265958,59.9855539 30.4264177,59.9855213 30.4263187,59.9854666 30.4262287,59.9851086 30.4258559)"
way/4455061,LineString,"[[29.9809097, 60.038881], [29.9824064, 60.0388694], [29.9839955, 60.0388209], [29.9861297, 60.038728], [29.987464, 60.0386836], [29.988719, 60.0386613], [29.990335, 60.0386525], [29.9916864, 60.0386525], [29.9917919, 60.0386525], [29.9934114, 60.0386747], [29.9945309, 60.0387127]]","LINESTRING(60.038881 29.9809097,60.0388694 29.9824064,60.0388209 29.9839955,60.038728 29.9861297,60.0386836 29.987464,60.0386613 29.988719,60.0386525 29.990335,60.0386525 29.9916864,60.0386525 29.9917919,60.0386747 29.9934114,60.0387127 29.9945309)"
way/4455064,LineString,"[[30.1803362, 59.8620545], [30.1805237, 59.8622697], [30.181511, 59.8633741], [30.1822612, 59.8642092]]","LINESTRING(59.8620545 30.1803362,59.8622697 30.1805237,59.8633741 30.181511,59.8642092 30.1822612)"
way/4455074,LineString,"[[30.2263056, 59.941624], [30.2259788, 59.9415496], [30.225087, 59.9412991], [30.2246183, 59.9411651]]","LINESTRING(59.941624 30.2263056,59.9415496 30.2259788,59.9412991 30.225087,59.9411651 30.2246183)"
way/4455123,LineString,"[[30.3501501, 59.9535431], [30.35019, 59.9535548], [30.3502369, 59.9535644], [30.3503248, 59.9535716], [30.3503903, 59.9535705], [30.3504797, 59.9535624], [30.3518095, 59.9534153], [30.3529322, 59.9532911]]","LINESTRING(59.9535431 30.3501501,59.9535548 30.35019,59.9535644 30.3502369,59.9535716 30.3503248,59.9535705 30.3503903,59.9535624 30.3504797,59.9534153 30.3518095,59.9532911 30.3529322)"
way/4455242,LineString,"[[30.2606653, 59.8674334], [30.2605567, 59.8678034], [30.2605001, 59.8679957]]","LINESTRING(59.8674334 30.2606653,59.8678034 30.2605567,59.8679957 30.2605001)"
way/4455257,LineString,"[[30.3040576, 59.8528703], [30.3036343, 59.8528947], [30.3033339, 59.8529328], [30.3031282, 59.852979], [30.3029501, 59.853054], [30.3029064, 59.8530772], [30.3028658, 59.8530987], [30.30283, 59.8531174], [30.3023811, 59.8533584], [30.3019698, 59.8535866]]","LINESTRING(59.8528703 30.3040576,59.8528947 30.3036343,59.8529328 30.3033339,59.852979 30.3031282,59.853054 30.3029501,59.8530772 30.3029064,59.8530987 30.3028658,59.8531174 30.30283,59.8533584 30.3023811,59.8535866 30.3019698)"
way/4455260,LineString,"[[30.2931771, 59.9172818], [30.2930912, 59.9172624], [30.2930261, 59.9172476], [30.2927319, 59.9171807], [30.2926134, 59.9171551], [30.2924134, 59.9171114], [30.2921791, 59.9170594], [30.292017, 59.9170234], [30.2918313, 59.9169823], [30.2914231, 59.9168921], [30.2912866, 59.916862], [30.2908867, 59.9167737], [30.2908394, 59.9167632], [30.2906738, 59.9167266]]","LINESTRING(59.9172818 30.2931771,59.9172624 30.2930912,59.9172476 30.2930261,59.9171807 30.2927319,59.9171551 30.2926134,59.9171114 30.2924134,59.9170594 30.2921791,59.9170234 30.292017,59.9169823 30.2918313,59.9168921 30.2914231,59.916862 30.2912866,59.9167737 30.2908867,59.9167632 30.2908394,59.9167266 30.2906738)"
way/4455308,LineString,"[[30.2589141, 60.0792267], [30.2588237, 60.0792983], [30.2556107, 60.0818927], [30.2539181, 60.0832946], [30.2529677, 60.0840818], [30.2511051, 60.0855085], [30.2501769, 60.086236], [30.2500788, 60.0862946]]","LINESTRING(60.0792267 30.2589141,60.0792983 30.2588237,60.0818927 30.2556107,60.0832946 30.2539181,60.0840818 30.2529677,60.0855085 30.2511051,60.086236 30.2501769,60.0862946 30.2500788)"
way/4455324,LineString,"[[30.1904516, 59.8286854], [30.1901787, 59.8287522]]",
way/4455377,LineString,"[[30.4268347, 60.0220302], [30.4262988, 60.0222931]]",
way/4455387,LineString,"[[30.4312006, 60.0254204], [30.4311027, 60.0254189], [30.4310169, 60.0254313], [30.4309142, 60.0254499], [30.4308218, 60.0254585], [30.4307275, 60.0254631], [30.4301378, 60.025459], [30.4298479, 60.0254536], [30.4296798, 60.0254686], [30.4295344, 60.0255038]]","LINESTRING(60.0254204 30.4312006,60.0254189 30.4311027,60.0254313 30.4310169,60.0254499 30.4309142,60.0254585 30.4308218,60.0254631 30.4307275,60.025459 30.4301378,60.0254536 30.4298479,60.0254686 30.4296798,60.0255038 30.4295344)"
way/4455415,LineString,"[[30.2497413, 60.0247221], [30.2500737, 60.0248191]]",
way/4455424,LineString,"[[30.3594546, 59.8669993], [30.3596053, 59.8670193]]",
way/4455439,LineString,"[[29.705755, 60.1918588], [29.7056448, 60.1922407], [29.7056143, 60.1923749], [29.7055289, 60.1925748], [29.7052304, 60.1932669], [29.7051965, 60.1933637], [29.7051155, 60.1934321], [29.7049228, 60.1935947]]","LINESTRING(60.1918588 29.705755,60.1922407 29.7056448,60.1923749 29.7056143,60.1925748 29.7055289,60.1932669 29.7052304,60.1933637 29.7051965,60.1934321 29.7051155,60.1935947 29.7049228)"
way/4455443,LineString,"[[30.3144394, 59.9655392], [30.3144423, 59.9655494], [30.3144865, 59.965669], [30.3146065, 59.9659698], [30.3146869, 59.9661718], [30.3148929, 59.9666897], [30.3149484, 59.966829], [30.3151235, 59.9672649], [30.3152463, 59.9675615], [30.3152518, 59.9676009], [30.3152269, 59.9676286]]","LINESTRING(59.9655392 30.3144394,59.9655494 30.3144423,59.965669 30.3144865,59.9659698 30.3146065,59.9661718 30.3146869,59.9666897 30.3148929,59.966829 30.3149484,59.9672649 30.3151235,59.9675615 30.3152463,59.9676009 30.3152518,59.9676286 30.3152269)"
way/4455477,LineString,"[[30.3708758, 60.0561308], [30.3709647, 60.0562482], [30.3712513, 60.0566172], [30.371355, 60.0567539], [30.3715549, 60.0570062], [30.3716075, 60.0570727], [30.3716617, 60.057139], [30.3717809, 60.0572847], [30.3719579, 60.0575011], [30.3728655, 60.0586111], [30.3729816, 60.0587531], [30.3731198, 60.0589176], [30.3734596, 60.0593471]]","LINESTRING(60.0561308 30.3708758,60.0562482 30.3709647,60.0566172 30.3712513,60.0567539 30.371355,60.0570062 30.3715549,60.0570727 30.3716075,60.057139 30.3716617,60.0572847 30.3717809,60.0575011 30.3719579,60.0586111 30.3728655,60.0587531 30.3729816,60.0589176 30.3731198,60.0593471 30.3734596)"
way/4455562,LineString,"[[30.4602696, 60.0171047], [30.4598772, 60.0167301], [30.4594655, 60.0163258]]","LINESTRING(60.0171047 30.4602696,60.0167301 30.4598772,60.0163258 30.4594655)"
way/4455612,LineString,"[[30.4354895, 59.9256307], [30.435444, 59.925729], [30.4352188, 59.925911], [30.4351447, 59.9259967], [30.4351142, 59.9260804], [30.435124, 59.9261424], [30.4351598, 59.9262228], [30.4352485, 59.9263164], [30.4362552, 59.9271171], [30.4363247, 59.9271724]]","LINESTRING(59.9256307 30.4354895,59.925729 30.435444,59.925911 30.4352188,59.9259967 30.4351447,59.9260804 30.4351142,59.9261424 30.435124,59.9262228 30.4351598,59.9263164 30.4352485,59.9271171 30.4362552,59.9271724 30.4363247)"
way/4455617,LineString,"[[30.3854296, 59.9231985], [30.3853719, 59.9231438], [30.3853179, 59.9230931], [30.3852344, 59.9230186], [30.3848501, 59.9226414], [30.3847677, 59.9225593], [30.3844775, 59.9222152], [30.3844536, 59.922169], [30.3844522, 59.9221068], [30.3844805, 59.9219762], [30.3845064, 59.9219033], [30.3845599, 59.9218249]]","LINESTRING(59.9231985 30.3854296,59.9231438 30.3853719,59.9230931 30.3853179,59.9230186 30.3852344,59.9226414 30.3848501,59.9225593 30.3847677,59.9222152 30.3844775,59.922169 30.3844536,59.9221068 30.3844522,59.9219762 30.3844805,59.9219033 30.3845064,59.9218249 30.3845599)"
way/4455665,LineString,"[[29.9873991, 60.133121], [29.9873467, 60.1331548], [29.9872185, 60.1332088], [29.9870864, 60.1332345], [29.9869012, 60.1332404], [29.9867451, 60.1332213], [29.9866045, 60.1331825], [29.9865015, 60.1331315], [29.9864001, 60.1330574], [29.9863525, 60.1329887], [29.9862602, 60.1328141]]","LINESTRING(60.133121 29.9873991,60.1331548 29.9873467,60.1332088 29.9872185,60.1332345 29.9870864,60.1332404 29.9869012,60.1332213 29.9867451,60.1331825 29.9866045,60.1331315 29.9865015,60.1330574 29.9864001,60.1329887 29.9863525,60.1328141 29.9862602)"
way/4455686,LineString,"[[30.4798051, 59.9703536], [30.4801591, 59.9700219]]",
way/4455778,LineString,"[[30.3741907, 59.9516034], [30.3742681, 59.9515422], [30.3743146, 59.9514876], [30.3743277, 59.9514397], [30.3743147, 59.9512866], [30.3742922, 59.9510223], [30.3742751, 59.9508203], [30.3742477, 59.9504979], [30.374243, 59.9504423], [30.3741727, 59.9496135], [30.3741556, 59.9494126], [30.3741433, 59.9492671], [30.3741129, 59.9489088], [30.3741095, 59.9488863], [30.3741068, 59.94883]]","LINESTRING(59.9516034 30.3741907,59.9515422 30.3742681,59.9514876 30.3743146,59.9514397 30.3743277,59.9512866 30.3743147,59.9510223 30.3742922,59.9508203 30.3742751,59.9504979 30.3742477,59.9504423 30.374243,59.9496135 30.3741727,59.9494126 30.3741556,59.9492671 30.3741433,59.9489088 30.3741129,59.9488863 30.3741095,59.94883 30.3741068)"
way/4455797,LineString,"[[30.3291005, 59.9461528], [30.3292754, 59.9461947], [30.3294672, 59.9462398]]","LINESTRING(59.9461528 30.3291005,59.9461947 30.3292754,59.9462398 30.3294672)"
way/4455799,LineString,"[[30.4803018, 59.9923088], [30.4803737, 59.9920909], [30.4803447, 59.9916872], [30.4799633, 59.9898456], [30.4798365, 59.9895485], [30.4796638, 59.9893043], [30.4793893, 59.9891052], [30.4790286, 59.9889088], [30.4785793, 59.9887442], [30.4778324, 59.9884914]]","LINESTRING(59.9923088 30.4803018,59.9920909 30.4803737,59.9916872 30.4803447,59.9898456 30.4799633,59.9895485 30.4798365,59.9893043 30.4796638,59.9891052 30.4793893,59.9889088 30.4790286,59.9887442 30.4785793,59.9884914 30.4778324)"
way/4455816,LineString,"[[30.003544, 60.1453823], [30.0034405, 60.1453822], [30.0028222, 60.1453813], [30.0026988, 60.1453811], [30.001711, 60.14539], [30.0013075, 60.1454129], [30.0008787, 60.1454555], [29.9997737, 60.1456595], [29.9994275, 60.1457297], [29.9984609, 60.1459259], [29.9979451, 60.1460245], [29.9977713, 60.1460587], [29.9968517, 60.1462394], [29.9967452, 60.1462603], [29.9966288, 60.1462839], [29.995979, 60.1464123], [29.9955619, 60.1464947], [29.9951427, 60.146576], [29.9950152, 60.1466008], [29.9948964, 60.1466238]]","LINESTRING(60.1453823 30.003544,60.1453822 30.0034405,60.1453813 30.0028222,60.1453811 30.0026988,60.14539 30.001711,60.1454129 30.0013075,60.1454555 30.0008787,60.1456595 29.9997737,60.1457297 29.9994275,60.1459259 29.9984609,60.1460245 29.9979451,60.1460587 29.9977713,60.1462394 29.9968517,60.1462603 29.9967452,60.1462839 29.9966288,60.1464123 29.995979,60.1464947 29.9955619,60.146576 29.9951427,60.1466008 29.9950152,60.1466238 29.9948964)"
way/4455835,LineString,"[[30.3118717, 60.0174639], [30.3117418, 60.0177542]]",
way/4455838,LineString,"[[30.41778, 59.8667147], [30.417645, 59.8667243], [30.4175532, 59.8667401], [30.417484, 59.8667681], [30.4174433, 59.8667981], [30.4174104, 59.8668387], [30.4174142, 59.8668765], [30.4174291, 59.8669121], [30.4174358, 59.8669527]]","LINESTRING(59.8667147 30.41778,59.8667243 30.417645,59.8667401 30.4175532,59.8667681 30.417484,59.8667981 30.4174433,59.8668387 30.4174104,59.8668765 30.4174142,59.8669121 30.4174291,59.8669527 30.4174358)"
way/4455867,LineString,"[[30.3301455, 59.9848363], [30.3296123, 59.984183], [30.3298608, 59.9835159], [30.3307264, 59.9830341], [30.3309025, 59.9829237], [30.331085, 59.9828094]]","LINESTRING(59.9848363 30.3301455,59.984183 30.3296123,59.9835159 30.3298608,59.9830341 30.3307264,59.9829237 30.3309025,59.9828094 30.331085)"
